Название книги;Автор;Издательство;Цена со скидкой;Цена без скидки;Размер скидки, %;Наличие на складе
Проектирование информационно-библиотечных систем. Учебник;Рахматуллаев Марат Алимович;ИНФРА-М: Высшее образование;2146;3576;40;На складе
Обеспечение информационной безопасности в сети Интернет. Монография;Максуров Алексей Анатольевич;ИНФРА-М: Научная мысль;1758;2930;40;На складе
Безопасность ASP. NET Core;Венц Кристиан;ДМК-Пресс;2931;4885;40;На складе
Разработка интеллектуальных систем для обработки сигналов с датчиков давления. Монография;Пылов Петр Андреевич и др.;Инфра-Инженерия;1038;1730;40;На складе
Организация антитеррористической защищённости. Учебное пособие;Пестов Владимир Михайлович;Инфра-Инженерия;896;1493;40;На складе
SQL Server. Наладка и оптимизация для профессионалов;Короткевич Дмитрий;Питер: Библиотека программиста;3545;4545;22;Ограничено
Информационная безопасность. Национальные стандарты Российской Федерации. Учебное пособие;Родичев Юрий Андреевич;Питер: Учебник для вузов;3900;5000;22;На складе
Моделирование и анализ в среде R с использованием пакета Shiny. Учебно-методическое пособие;Лукьянов Павел Борисович;Прометей;592;1076;45;На складе
DAX для профессионалов. Теория и практика. Выведи свои аналитические навыки в Microsoft Power BI;Розема Мишель, Влотман Хенк;ДМК-Пресс;2931;4885;40;На складе
Введение в автоматизированное машинное обучение (AutoML);Хуттер Франк и др.;ДМК-Пресс;2512;4187;40;На складе
Разберись в Data Science. Как освоить науку о данных и научиться думать как эксперт;Гатман Алекс Дж., Голдмейер Джордан;Бомбора: Мировой компьютерный бестселлер;1165;1596;27;На складе
Java. Руководство для начинающих;Шилдт Герберт;Вильямс;3227;5378;40;На складе
Основы кибербезопасности. Cтандарты, концепции, методы и средства обеспечения;Белоус Анатолий Иванович, Солодуха Виталий Александрович;Техносфера: Мир электроники;1646;2744;40;На складе
Программные и аппаратные трояны – способы внедрения и методы противодействия. В 2-х книгах;Белоус Анатолий Иванович и др.;Техносфера: Мир электроники;3108;5180;40;Ограничено
Информатика. Прошлое, настоящее, будущее;Губарев Василий Васильевич;Техносфера: Мир программирования;400;666;40;На складе
Анализ алгоритмов. Активный обучающий подход;Макконнел Джеффри Дж.;Техносфера: Мир программирования;435;725;40;На складе
Технология Java Card для смарт-карт. Архитектура и руководство программиста;Чен Жикун;Техносфера: Мир программирования;274;456;40;На складе
Беспроводной мобильный Интернет. Архитектура, протоколы и сервисы;Джамалипур Аббас;Техносфера: Мир связи;571;952;40;На складе
Англо-русский толковый словарь сокращений в области связи и новых информационных технологий;Слепов Николай Николаевич;Техносфера: Мир связи;998;1664;40;На складе
Развитие сетей мобильной связи от 5G Advanced к 6G. Проекты, технологии, архитектура;Тихвинский Валерий Олегович и др.;Техносфера: Мир связи;1646;2744;40;На складе
Методы анализа логических корреляций для САПР цифровых КМОП СБИС;Гаврилов Сергей Витальевич;Техносфера: Мир цифровой обработки;232;386;40;На складе
Цифровая обработка сигналов с приложениями для геофизики и экспериментальной механики. Учебник;Гетманов Виктор Григорьевич;Техносфера: Мир цифровой обработки;916;1527;40;На складе
Цифровая обработка изображений;Гонсалес Рафаэл С., Вудс Ричард Е.;Техносфера: Мир цифровой обработки;1092;1820;40;На складе
Метрологическое обеспечение видеоинформационных систем;Дворкович Виктор Павлович, Дворкович Александр Викторович;Техносфера: Мир цифровой обработки;1344;2240;40;На складе
Цифровые видеоинформационные системы. Теория и практика;Дворкович Виктор Павлович, Дворкович Александр Викторович;Техносфера: Мир цифровой обработки;1344;2240;40;На складе
Цифровая обработка сигналов атомарными функциями и вейвлетами;Кравченко Виктор Филиппович, Чуриков Дмитрий Викторович;Техносфера: Мир цифровой обработки;820;1366;40;На складе
Основы теории цифровой обработки сигналов. Учебное пособие;Умняшкин Сергей Владимирович;Техносфера: Мир цифровой обработки;773;1288;40;На складе
Случайные данные. Структура и анализ;Хименко Виталий Иванович;Техносфера: Мир фотоники;998;1664;40;На складе
JavaScript с нуля до профи;Свекис Лоренс Ларс и др.;Питер: Библиотека программиста;2268;2908;22;На складе
Python для финансистов;Хилпиш Ив;Питер: Бестселлеры O`Reilly;2057;2637;22;На складе
Введение в смарт-антенны;Баланис Константин А., Иоанидес Панайотис И.;Техносфера: Мир радиоэлектроники;400;666;40;На складе
Архитектура сетей связи на базе программируемых радиосредств;Бард Джон, Коварик-мл. Винсент Дж.;Техносфера: Мир радиоэлектроники;820;1366;40;На складе
Беспроводные коммуникации;Голдсмит Андреа;Техносфера: Мир радиоэлектроники;1092;1820;40;На складе
Конвергенция мобильных и стационарных сетей следующего поколения;;Техносфера: Мир радиоэлектроники;1092;1820;40;На складе
Распределение цифрового видео по широкополосным, телевизионным, мобильным и конвергентным сетям;Пол Сэнджой;Техносфера: Мир радиоэлектроники;706;1176;40;На складе
Компьютерная архитектура. Количественный подход;Хеннесси Джон, Паттерсон Дэвид;Техносфера: Мир радиоэлектроники;1646;2744;40;На складе
Цифровая революция. Преимущества и риски. Искусственный интеллект и интернет всего;Ларина Елена Сергеевна, Овчинский Владимир Семенович;Книжный мир;1420;2581;45;На складе
